date,no2_ug_m3,o3_ug_m3
2019-06-07,20.492,62.523999999999994
2019-06-08,19.928,70.55999999999999
2019-06-09,22.184,69.97200000000001
2019-06-10,37.976,58.995999999999995
2019-06-11,44.368,61.348000000000006
2019-06-12,16.2996,66.24799999999999
2019-06-13,22.184,60.76
2019-06-14,18.8,59.78
2019-06-15,14.344399999999998,68.404
2019-06-16,13.0096,68.79599999999999
2019-06-17,23.5,53.508
2019-06-18,13.16,60.76
2019-06-19,9.4,64.68
2019-06-20,23.688,58.408
2019-06-21,17.6344,46.452
2019-06-22,10.34,61.93600000000001
2019-06-23,8.836,68.992
2019-06-24,20.304000000000002,58.408
2019-06-25,22.56,54.291999999999994
2019-06-26,20.304000000000002,56.644
2019-06-27,21.056,65.66000000000001
2019-06-28,24.628,63.7
2019-06-29,29.14,55.272
2019-06-30,26.131999999999998,57.82
2019-07-01,33.464,48.216
2019-07-02,25.567999999999998,63.504
2019-07-03,21.244,59.78
2019-07-04,10.7348,65.072
2019-07-05,22.184,50.568
2019-07-06,16.3748,74.676
2019-07-07,10.716000000000001,74.088
2019-07-08,16.6756,65.66000000000001
2019-07-09,17.4652,69.188
2019-07-10,21.808,57.232
2019-07-11,39.856,43.512
2019-07-12,25.756,43.708
2019-07-13,31.772,59.584
2019-07-14,16.3748,67.032
2019-07-15,35.72,50.763999999999996
2019-07-16,46.623999999999995,47.432
2019-07-17,22.56,53.312
2019-07-18,20.304000000000002,49.392
2019-07-19,18.0104,46.452
2019-07-20,14.2316,55.86
2019-07-21,11.5056,50.96
2019-07-22,27.26,52.332
2019-07-23,31.396,55.664
2019-07-24,36.284,51.744
2019-07-25,42.676,46.648
2019-07-26,38.728,50.176
2019-07-27,34.404,54.488
2019-07-28,22.56,50.96
2019-07-29,29.516,50.176
2019-07-30,23.311999999999998,59.78
2019-07-31,17.2772,51.744
2019-08-01,29.516,50.568
2019-08-02,36.848,47.04
2019-08-03,35.908,50.96
2019-08-04,25.756,57.428
2019-08-05,25.567999999999998,64.87599999999999
2019-08-06,29.328,53.116
2019-08-07,25.567999999999998,55.467999999999996
2019-08-08,27.448,54.488
2019-08-09,36.284,55.86
2019-08-10,36.096,45.864000000000004
2019-08-11,15.3596,46.648
2019-08-12,32.900000000000006,28.028
2019-08-13,18.386400000000002,66.836
2019-08-14,27.824,59.584
2019-08-15,29.704000000000004,56.84
2019-08-16,27.448,50.372
2019-08-17,15.040000000000001,59.78
2019-08-18,11.9756,58.8
2019-08-19,25.944,52.332
2019-08-20,37.976,37.632
2019-08-21,48.128,49.784
2019-08-22,36.284,43.12
2019-08-23,23.5,49.196000000000005
2019-08-24,27.636,60.172000000000004
2019-08-25,25.003999999999998,55.86
2019-08-26,38.916,44.688
2019-08-27,34.028000000000006,46.256
2019-08-28,24.064,49.196000000000005
2019-08-29,29.516,52.135999999999996
2019-08-30,42.3,48.02
2019-08-31,33.839999999999996,55.076
2019-09-01,31.020000000000003,59.388
2019-09-02,21.808,70.95200000000001
2019-09-03,33.839999999999996,43.12
2019-09-04,40.044,46.06
2019-09-05,38.163999999999994,44.296
2019-09-06,36.284,48.608
2019-09-07,33.464,44.688
2019-09-08,22.936,42.13999999999999
2019-09-09,31.396,40.18
2019-09-10,11.9004,62.132
2019-09-11,28.2,53.9
2019-09-12,39.668,43.12
2019-09-13,45.12,50.96
2019-09-14,42.112,64.87599999999999
2019-09-15,37.6,48.02
2019-09-16,32.900000000000006,47.824000000000005
2019-09-17,34.404,42.924
2019-09-18,35.156000000000006,38.611999999999995
2019-09-19,32.148,25.088
2019-09-20,21.996000000000002,61.348000000000006
2019-09-21,35.344,56.84
2019-09-22,37.412,67.816
2019-09-23,34.404,49.196000000000005
2019-09-24,44.18,36.064
2019-09-25,33.464,51.156000000000006
2019-09-26,19.176000000000002,50.96
2019-09-27,13.16,52.92
2019-09-28,20.68,41.943999999999996
2019-09-29,15.98,56.644
2019-09-30,34.592,36.26
2019-10-01,34.216,45.864000000000004
2019-10-02,43.24,54.88
2019-10-03,50.196000000000005,53.508
2019-10-04,48.316,32.732
2019-10-05,47.564,64.68
2019-10-06,46.436,83.88799999999999
2019-10-07,51.324000000000005,62.916
2019-10-08,49.82,42.728
2019-10-09,26.32,68.60000000000001
2019-10-10,72.944,24.304
2019-10-11,56.587999999999994,42.13999999999999
2019-10-12,47.751999999999995,62.72
2019-10-13,43.616,52.724000000000004
2019-10-14,33.464,51.744
2019-10-15,48.879999999999995,45.275999999999996
2019-10-16,62.604000000000006,41.552
2019-10-17,40.044,53.9
2019-10-18,38.163999999999994,42.924
2019-10-19,44.368,39.984
2019-10-20,42.676,42.532000000000004
2019-10-21,49.256,46.256
2019-10-22,63.544,37.24
2019-10-23,77.832,39.004000000000005
2019-10-24,79.712,33.123999999999995
2019-10-25,70.31200000000001,25.872
2019-10-26,53.392,45.864000000000004
2019-10-27,17.578000000000003,60.368
2019-10-28,49.82,39.788
2019-10-29,52.263999999999996,33.32
2019-10-30,44.368,37.632
2019-10-31,55.836,32.144000000000005
2019-11-01,58.092,31.164
2019-11-02,65.42399999999999,31.36
2019-11-03,56.211999999999996,49.98
2019-11-04,63.732,53.704
2019-11-05,64.86,39.2
2019-11-06,58.844,30.968000000000004
2019-11-07,56.211999999999996,37.828
